sqId,sqProject,sqName,sqIsDel,sqDescription,sqPreviewPath
1,1,sc002,False,,
2,1,op,False,画家,
3,2,sctest,False,pixomondo 的测试项目，最终提交时间是8/12,
4,3,GTD,False,GTD场镜头量比较大，截止到09/16日，请艺术家们合理规划安排。,
5,4,fwf,False,跑车卡车追逐,\\work\DFS_app\mp\mpm\project\fry\sequence\fwf\fwf.jpg
6,4,mus,False,白色帐篷,\\work\DFS_app\mp\mpm\project\fry\sequence\mus\mus.jpg
7,5,sc015,False,,
8,5,sc020,False,,
9,5,sc023,False,,
10,5,sc029,False,,
11,5,sc112-121B,False,,
12,5,sc065D-067B,False,,
13,5,sc079-093D,False,,
14,5,sc121B,False,,
15,6,ct,False,,\\work\DFS_app\mp\mpm\project\fiv\sequence\ct\ct.jpg
16,6,ctm,False,,\\work\DFS_app\mp\mpm\project\fiv\sequence\ctm\ctm.jpg
17,6,wl,False,,\\work\DFS_app\mp\mpm\project\fiv\sequence\wl\wl.jpg
18,8,sc001,False,汽车变形成变形金刚，追逐路人,
19,9,,False,,
20,9,b070,False,,
21,9,b080,False,,
22,9,b110,False,,
23,9,b120,False,,
24,9,b150,False,,
25,9,b160,False,,
26,7,baixue,False,,
27,3,管理,False,,
28,9,b061,False,,
29,9,b060,False,,
30,10,E2_SD,False,,
31,10,E5-5INS,False,,
32,10,E5-17A,False,,
33,10,E5-8INS,False,,
34,10,E5-11A,False,,
35,10,E5-15A,False,,
36,10,E5-21A,False,,
37,9,b030,False,,
38,9,b040,False,,
39,9,b041,False,,
40,9,b050,False,,
41,11,火焰,False,,
42,11,空中颗粒,False,,
43,10,E1-46to63,False,,
44,10,E2-01to30,False,,
45,10,E3-05to20,False,,
46,10,E5,False,,
47,11,烟,False,,
48,11,草,False,,
49,11,土块,False,,
50,11,Dirt_Charge,False,,
51,10,E4,False,,
52,10,E3,False,,
53,11,枪火,False,,
54,12,ceshi,False,,
55,10,E5-11B,False,,
56,10,E1-MG,False,,
57,10,E10,False,,
58,10,E11,False,,
59,10,E12,False,,
60,14,T71,False,,
61,14,T70,False,,
62,14,T72,False,,
63,15,sc0010,False,,
64,14,T74,False,,
65,14,T73,False,,
66,14,T77,False,,
67,14,T75,False,,
68,14,T76,False,,
69,14,T78,False,,
70,14,T79,False,,
71,14,T80,False,,
72,14,T81,False,,
73,13,JY,False,,
74,11,雪,False,,
75,10,E2_SDX,False,,
76,10,E1,False,,
77,18,R2,False,,
78,18,R3,False,,
79,18,R4,False,,
80,19,DQ,False,,
82,19,GT,False,,
83,19,JS,False,,
84,21,025,False,,
85,21,034,False,,
86,21,035,False,,
87,21,038,False,,
88,21,055,False,,
89,21,058,False,,
90,21,069,False,,
91,21,078,False,,
92,21,082,False,,
93,21,120,False,,
94,21,121,False,,
95,21,176,False,,
96,21,190,False,,
97,21,192,False,,
98,20,057,False,,
99,19,DP,False,,
100,21,030,False,,
101,21,143,False,,
102,21,146a,False,,
103,22,CS,False,,
104,23,001,False,,
105,20,000,False,,
1105,22,01,False,,
1106,24,01,False,,
1107,25,09,False,,
2105,20,031,False,,
2106,1024,01,False,,
2107,17,人物,False,,
2108,17,人物_现代,False,,
2109,17,人物_古代_男人,False,,
3105,17,场景,False,,
3106,17,动物,False,,
3107,17,道具,False,,
3108,2024,CCG,False,,
3109,2025,R1,False,,
3110,2025,OP,False,,
3111,2025,R2,False,,
3112,2025,R3,False,,
3113,2025,R4,False,,
3114,2025,R5,False,,
3115,2025,R6,False,,
3116,2025,R6-TU,False,,
3117,2025,R5-TU,False,,
3118,2025,R4-TU,False,,
3119,2025,R1-TU,False,,
3120,2025,R2-TU,False,,
3121,2025,R3-TU,False,,
3122,17,怪兽,False,,
3123,2026,79,False,,
3124,2026,79B,False,,
3125,2025,OP-TU,False,,
3126,2025,TS,False,,
3127,2025,TX,False,,
3128,2027,01,False,,
3129,2027,02,False,,
